Date,equity,cash,position_qty,action,p_up,memory_matches
2025-01-05 06:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,3
2025-01-05 07:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 07:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 07:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 07:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 08:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 08:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 08:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 08:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 09:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 09:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 09:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 09:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 10:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 10:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 10:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 10:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 11:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 11:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 11:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 11:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 12:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 12:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 12:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 12:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 13:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 13:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 13:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 13:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 14:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 14:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 14:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 14:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 15:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 15:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 15:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 15:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 16:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 16:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 16:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 16:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 17:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 17:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 17:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 17:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 18:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 18:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 18:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 18:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
2025-01-05 19:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.5,0
