Date,equity,cash,position_qty,action,p_up,memory_matches
2025-01-05 06:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,3
2025-01-05 07:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 07:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 07:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 07:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 08:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 08:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 08:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 08:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 09:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 09:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 09:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 09:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 10:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 10:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 10:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 10:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 11:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 11:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 11:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 11:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 12:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 12:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 12:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 12:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 13:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 13:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 13:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 13:45:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 14:00:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 14:15:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
2025-01-05 14:30:00+00:00,10000.0,10000.0,0.0,HOLD,0.49,0
